model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7679999528214416,0.01729527151179055,0.7656852031804944,0.005710582876073031,0.7692487167522165,0.765846030866608,0.7692452237278748,0.6918606669173006,0.9337437664450656,24.41
LinearSVC,sklearn,0.7388014066041098,0.02222106448634134,0.7366783255713978,0.011026554240414044,0.7270181987867476,0.7252063645712726,0.7286847294160661,0.6356836473917131,,6.07
DecisionTree,sklearn,0.7433282050940485,0.024448140933713922,0.7389324439065585,0.010665573204599798,0.7335510965935604,0.7186375533406515,0.7248300489821207,0.6499513565507063,0.9136334398697701,1.44
SGDClassifier,sklearn,0.722321368013384,0.028161375747663968,0.7172811817408575,0.017916636615008277,0.7200186654223052,0.7069690776925017,0.7119183340335936,0.6286347610539788,0.9096282864071749,0.14
LDA,sklearn,0.6884992282304424,0.019377068938765733,0.6875672225969988,0.0153072192718133,0.6868875408306113,0.6857431376805112,0.6883738862064727,0.5820407188743884,0.9090596641021651,0.09
RidgeClassifier,sklearn,0.6845911541567522,0.016377722896448354,0.6834381290792992,0.0116795913523273,0.6838544097060196,0.6823336354375039,0.685032257240221,0.5778725943309531,,0.04
KNN,sklearn,0.6120829170411497,0.008556588463569489,0.6069536038062651,0.008327948018582875,0.5940270648623425,0.5934770402510166,0.5939385907294853,0.462339156038529,0.8749682060059759,0.02
QDA,sklearn,0.6135820768896727,0.01963267684289274,0.5880746569906138,0.010680427919252215,0.5993933737750816,0.5671139923858003,0.5651497167809338,0.49855628662737994,0.8764772237972851,0.09
NearestCentroid,sklearn,0.5489290038083753,0.01564824975539924,0.5495294152719509,0.01288994272262207,0.5545963602426505,0.5564947782810151,0.5571345869443859,0.40542705349415653,0.8685036248648899,0.04
CosineSimilarity,sklearn,0.5475257579881183,0.019390822398707045,0.539100914684898,0.01943229098042677,0.5443303779748017,0.5383596005281808,0.5411973008354634,0.39562428292179014,,0.03
